name,address,city,state,category,yelp_url
Coconuts Caribbean Restaurant,642 Ramona St,Palo Alto,CA,Caribbean,http://www.yelp.com/biz/coconuts-caribbean-restaurant-and-bar-palo-alto,5,2,4.0,1100
À Côté,5478 College Ave,Oakland,CA,French Spanish Italian,http://www.yelp.com/biz/%C3%A0-c%C3%B4t%C3%A9-oakland-2,5,3,4.0,1020
El Farolito,2779 Mission St,San Francisco,CA,Mexican,http://www.yelp.com/biz/el-farolito-san-francisco-2,5,1,4.0,3046
Barlata,4901 Telegraph Ave.,Oakland,CA,Spanish,http://www.yelp.com/biz/barlata-oakland,5,2,3.5,549
Boot and Shoe Service,3308 Grand Ave,Oakland,CA,Pizza,http://www.yelp.com/biz/boot-and-shoe-service-oakland,5,2,4.0,852
Anula's Cafe,1319 Franklin St,Oakland,CA,Sri Lankan,http://www.yelp.com/biz/anulas-cafe-oakland,5,1,4.5,71
Galli,45 Mercer St,New York,NY,Italian,http://www.yelp.com/biz/galli-restaurant-new-york,6,2,4.0,244
Tofu House,4127 El Caminos Real,Palo Alto,CA,Korean,http://www.yelp.com/biz/so-gong-dong-tofu-house-palo-alto,6,2,4.0,849
Ippudo NY,321 W 51st St,New York,NY,Japanese,http://www.yelp.com/biz/ippudo-ny-new-york,6,2,4.0,6427
Kunjip,9 W 32nd St,New York,NY,Korean,http://www.yelp.com/biz/kun-jip-new-york,6,2,3.0,1225
Houston's,1 Riverside Square Mall #181,Hackensack,NJ,American,http://www.yelp.com/biz/houstons-restaurant-hackensack,6,3,4.0,248
In-N-Out,1159 N Rengstorff Ave,Mountain View,CA,Burgers,http://www.yelp.com/biz/in-n-out-burger-mountain-view,6,1,4.0,325
Murray's Cheese Bar,264 Bleeker St,New York,NY,Italian,http://www.yelp.com/biz/murrays-cheese-bar-new-york,6,2,4.0,244
Hope Kee,21 Mott St,New York,NY,Chinese,http://www.yelp.com/biz/hop-kee-new-york,6,2,3.5,461
Buffalo Wild Wings,1620 Saratoga Ave,San Jose,CA,American,http://www.yelp.com/biz/buffalo-wild-wings-san-jose,6,2,3.0,652
Mr. Chow,324 E 57th St,New York,NY,Chinese,http://www.yelp.com/biz/mr-chow-new-york,6,4,3.0,154
Homma's Brown Rice Sushi,2363 Birch Street (Suite B),Palo Alto,CA,Sushi,http://www.yelp.com/biz/hommas-brown-rice-sushi-palo-alto,7,2,4.0,392
Tacolicious,632 Emerson Street,Palo Alto,CA,Mexican,http://www.yelp.com/biz/tacolicious-palo-alto,7,2,3.5,330
Sprout Cafe,168 University Avenue,Palo Alto,CA,Soup/Salad,http://www.yelp.com/biz/sprout-cafe-palo-alto,7,2,3.5,778
Tamarine,546 University Avenue,Palo Alto,CA,Vietnamese,http://www.yelp.com/biz/tamarine-palo-alto,7,3,4.0,1174
Joya,339 University Avenue,Palo Alto,CA,Tapas,http://www.yelp.com/biz/joya-palo-alto,7,3,3.5,1154
Evvia Estiatorio,420 Emerson Street,Palo Alto,CA,Greek,http://www.yelp.com/biz/evvia-estiatorio-palo-alto,7,3,4.5,1468
Verde Tea Cafe,852 Villa Street,Mountain View,CA,Bubble Tea,http://www.yelp.com/biz/verde-tea-cafe-mountain-view,7,1,3.5,891
