time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-11-23T07:02:24.350Z,36.1853,-97.0452,5.24,2.1,mb_lg,,68,0.273,0.51,us,us100040g7,2015-11-23T21:52:38.587Z,"7km N of Stillwater, Oklahoma",earthquake
2015-11-23T06:14:36.970Z,37.0036667,-98.0361667,6.24,2.21,ml,20,123,0.07495,0.05,ismpkansas,ismpkansas70156398,2015-11-23T19:06:25.175Z,"16km S of Anthony, Kansas",earthquake
2015-11-23T02:34:06.700Z,36.1752,-97.3461,6.818,2.4,ml,,59,,0.52,us,us100040fg,2015-11-24T00:21:26.920Z,"13km SSW of Perry, Oklahoma",earthquake
2015-11-22T22:21:10.390Z,36.154,-97.0194,3.43,2.4,ml,,53,0.248,0.46,us,us100040e6,2015-11-23T21:31:54.596Z,"5km NE of Stillwater, Oklahoma",earthquake
2015-11-22T15:37:44.380Z,37.1896667,-97.9935,5.88,2.03,ml,21,72,0.04114,0.04,ismpkansas,ismpkansas70156173,2015-11-23T18:51:58.944Z,"5km NE of Anthony, Kansas",earthquake
2015-11-22T14:07:18.100Z,36.3328,-96.8018,5,2.6,mb_lg,,64,0.178,0.41,us,us100040bm,2015-11-22T22:08:59.753Z,"0km SSE of Pawnee, Oklahoma",earthquake
2015-11-22T13:46:32.230Z,37.0353333,-97.9348333,4.01,2.05,ml,21,81,0.08155,0.06,ismpkansas,ismpkansas70156158,2015-11-23T18:43:36.703Z,"15km SSE of Anthony, Kansas",earthquake
2015-11-22T08:12:32.200Z,36.6466,-98.4563,5.83,2.8,mb_lg,,96,0.252,0.3,us,us100040ai,2015-11-22T08:56:11.059Z,"14km SW of Cherokee, Oklahoma",earthquake
2015-11-22T04:57:51.810Z,36.6522,-98.3971,5,2.5,mb_lg,,93,0.213,0.64,us,us1000409m,2015-11-23T01:53:17.157Z,"11km SSW of Cherokee, Oklahoma",earthquake
2015-11-21T20:43:56.510Z,35.6704,-97.169,5,2.5,mb_lg,,39,0.023,0.37,us,us10004063,2015-11-21T23:26:13.899Z,"2km ENE of Luther, Oklahoma",earthquake
2015-11-21T19:42:30.610Z,36.7496,-98.0522,7.91,2.7,mb_lg,,50,0.091,0.49,us,us10004058,2015-11-22T04:56:23.406Z,"27km E of Cherokee, Oklahoma",earthquake
2015-11-21T17:59:45.530Z,36.3054,-96.8808,11.93,2.5,mb_lg,,33,0.193,0.47,us,us1000404r,2015-11-24T19:11:38.457Z,"7km WSW of Pawnee, Oklahoma",earthquake
2015-11-21T14:04:13.840Z,36.9191,-97.8055,5.62,2.6,mb_lg,,42,0.08,0.34,us,us1000403t,2015-11-21T18:17:26.048Z,"13km NNW of Medford, Oklahoma",earthquake
2015-11-21T13:21:03.950Z,36.4155,-96.8663,5,2.6,mb_lg,,65,0.275,0.48,us,us1000403s,2015-11-21T21:23:45.887Z,"10km NNW of Pawnee, Oklahoma",earthquake
2015-11-21T11:00:17.830Z,36.9244,-97.7906,5,2.7,mb_lg,,33,0.091,0.49,us,us1000403g,2015-11-21T11:39:28.689Z,"13km NNW of Medford, Oklahoma",earthquake
2015-11-21T09:22:39.020Z,36.8354,-98.2217,5,2.8,mb_lg,,112,0.032,0.37,us,us1000402v,2015-11-21T10:04:51.826Z,"15km NE of Cherokee, Oklahoma",earthquake
2015-11-21T07:31:36.410Z,35.6712,-97.4348,9.98,2.4,ml,,68,0.09,0.49,us,us1000402n,2015-11-22T23:29:26.477Z,"4km ENE of Edmond, Oklahoma",earthquake
2015-11-21T00:27:17.350Z,36.924,-97.8164,7.56,2.6,mb_lg,,36,0.08,0.48,us,us1000400f,2015-11-21T04:31:18.392Z,"14km NNW of Medford, Oklahoma",earthquake
2015-11-21T00:08:49.100Z,37.058,-97.9323333,6.7,2.16,ml,21,75,0.06973,0.04,ismpkansas,ismpkansas70155513,2015-11-23T17:50:39.450Z,"13km SE of Anthony, Kansas",earthquake
2015-11-21T00:06:58.610Z,36.9347,-97.8091,5.97,2.5,mb_lg,,34,0.092,0.23,us,us10004002,2015-11-21T02:27:26.547Z,"15km NNW of Medford, Oklahoma",earthquake
2015-11-20T23:09:29.480Z,36.6286,-98.3691,5,3.3,mb_lg,,40,0.216,0.95,us,us10003zyv,2015-11-21T02:28:48.269Z,"12km NW of Helena, Oklahoma",earthquake
2015-11-20T22:55:51.490Z,36.9086,-97.8221,5.49,3.9,mb_lg,,42,0.064,0.64,us,us10003zyj,2015-11-21T15:48:04.040Z,"13km NW of Medford, Oklahoma",earthquake
2015-11-20T22:53:48.120Z,36.9123,-97.8133,4.2,3.1,mb_lg,,39,0.071,0.59,us,us10003zyh,2015-11-21T02:36:07.607Z,"13km NNW of Medford, Oklahoma",earthquake
2015-11-20T22:40:40.740Z,36.9292,-97.8182,7.89,4.1,mwr,,35,0.084,0.53,us,us10003zyc,2015-11-25T09:14:00.732Z,"15km NNW of Medford, Oklahoma",earthquake
2015-11-20T21:11:13.950Z,36.7266,-98.0757,5,3.1,mb_lg,,60,0.118,0.55,us,us10003zxn,2015-11-20T23:04:55.272Z,"25km E of Cherokee, Oklahoma",earthquake
2015-11-20T19:12:08.700Z,36.2721,-96.6616,2.801,2.6,ml,,74,,0.67,us,us100040j2,2015-11-24T18:20:20.490Z,"14km ESE of Pawnee, Oklahoma",earthquake
2015-11-20T15:42:32.340Z,36.4888,-98.6021,5,2.8,mb_lg,,88,0.34,0.45,us,us10003zv0,2015-11-20T22:58:25.238Z,"26km NNW of Fairview, Oklahoma",earthquake
2015-11-20T12:07:45.540Z,36.6292,-98.4591,4.32,2.7,mb_lg,,113,0.265,0.31,us,us10003zt3,2015-11-20T13:00:48.028Z,"16km SSW of Cherokee, Oklahoma",earthquake
2015-11-20T11:22:05.290Z,36.6463,-98.4567,5,3.5,mb_lg,,115,0.252,0.42,us,us10003zt0,2015-11-20T19:21:40.855Z,"14km SW of Cherokee, Oklahoma",earthquake
2015-11-20T08:06:02.690Z,36.5185,-98.5988,5,3.2,mb_lg,,144,0.353,0.44,us,us10003zsc,2015-11-21T03:18:24.785Z,"29km NNW of Fairview, Oklahoma",earthquake
2015-11-20T06:12:50.670Z,36.6436,-98.4571,8.16,3.5,mb_lg,,114,0.254,0.17,us,us10003zrm,2015-11-20T14:24:59.820Z,"15km SW of Cherokee, Oklahoma",earthquake
2015-11-20T05:59:07.140Z,36.6572,-97.7196,3.99,2.6,mb_lg,,56,0.223,0.24,us,us10003zri,2015-11-20T12:11:44.807Z,"16km S of Medford, Oklahoma",earthquake
2015-11-20T03:15:39.000Z,35.9803,-96.757,4.01,2.3,mb_lg,,50,0.029,0.42,us,us10003zqq,2015-11-23T21:25:58.696Z,"1km ESE of Cushing, Oklahoma",earthquake
2015-11-19T17:13:44.980Z,36.6429,-98.47,5,2.6,mb_lg,,97,0.263,0.54,us,us10003zm1,2015-11-20T03:06:33.762Z,"15km SW of Cherokee, Oklahoma",earthquake
2015-11-19T15:06:17.200Z,36.6534,-98.4702,7.583,2.9,ml,,116,,0.53,us,us10003zkh,2015-11-20T15:25:50.462Z,"15km SW of Cherokee, Oklahoma",earthquake
2015-11-19T14:24:58.860Z,36.0877,-97.5837,3.17,4,mb_lg,,68,0.308,0.29,us,us10003zit,2015-11-21T03:41:29.787Z,"15km N of Crescent, Oklahoma",earthquake
2015-11-19T13:25:10.730Z,36.0672,-97.5925,1.63,3.4,mb_lg,,37,0.292,0.78,us,us10003zig,2015-11-19T22:04:16.723Z,"12km N of Crescent, Oklahoma",earthquake
2015-11-19T12:03:10.370Z,36.6354,-98.4496,5,3.7,mb_lg,,37,0.255,0.54,us,us10003zi6,2015-11-20T07:12:20.092Z,"15km SSW of Cherokee, Oklahoma",earthquake
2015-11-19T09:46:22.180Z,36.6375,-98.4276,2.82,3.1,mb_lg,,66,0.24,0.4,us,us10003zhl,2015-11-20T03:25:39.095Z,"14km SSW of Cherokee, Oklahoma",earthquake
2015-11-19T07:42:12.760Z,36.661,-98.4612,6.23,4.7,mwr,,98,0.246,0.18,us,us10003zgz,2015-12-01T15:58:03.695Z,"13km SW of Cherokee, Oklahoma",earthquake
