borough,census_tract,total_households,median_household_income
Bronx,000100,0,0
Bronx,000200,1123,42539
Bronx,000400,1047,39013
Bronx,000500,0,0
Bronx,001100,126,25588
Bronx,001500,8,26250
Bronx,001600,1837,24552
Bronx,001700,257,21283
Bronx,002000,3109,14691
Bronx,002300,1624,14112
Bronx,002400,0,0
Bronx,002500,1729,12221
Bronx,002701,989,12898
Bronx,002702,1295,12654
Bronx,002800,2360,34234
Bronx,003100,488,27330
Bronx,003300,941,11322
Bronx,003500,1116,18736
Bronx,003600,2659,29375
Bronx,003700,161,23750
Bronx,003800,382,47647
Bronx,003900,2088,15893
Bronx,004001,576,29545
Bronx,004002,0,0
Bronx,004100,1810,12970
Bronx,004300,1485,19434
Bronx,004400,1612,13185
Bronx,004600,618,17976
Bronx,004700,1771,11817
Bronx,004800,1147,19023
Bronx,004900,69,25662
Bronx,005000,3399,20385
Bronx,005200,813,13826
Bronx,005301,0,0
Bronx,005302,1395,15527
Bronx,005400,1769,21282
Bronx,005600,1086,12604
Bronx,005700,125,32279
Bronx,005800,1,6250
Bronx,005901,1718,23138
Bronx,005902,1117,33256
Bronx,006000,310,30242
Bronx,006100,2088,30469
Bronx,006200,2310,16314
Bronx,006400,1257,35279
Bronx,006500,1656,17457
Bronx,006600,1370,26994
Bronx,006700,2120,17353
Bronx,006800,1139,25966
Bronx,006900,1331,10576
Bronx,007000,1281,32146
Bronx,007100,560,36316
Bronx,007200,1753,31126
Bronx,007300,1084,21545
Bronx,007400,1297,40654
Bronx,007500,1566,20813
Bronx,007700,439,21958
Bronx,007800,2075,34353
Bronx,007900,2215,14767
Bronx,008100,0,0
Bronx,008300,2002,25886
Bronx,008400,575,39911
Bronx,008500,1512,18403
Bronx,008600,1439,14409
Bronx,008700,1446,19615
Bronx,008800,1052,16136
Bronx,008900,1065,13007
Bronx,009100,16,8750
Bronx,009200,1799,36589
Bronx,009400,448,40833
Bronx,009700,45,2499
Bronx,009800,1911,38642
Bronx,009900,1551,18931
Bronx,010200,13,20417
Bronx,010500,111,9821
Bronx,011000,271,9461
Bronx,011501,460,18243
Bronx,011502,1222,14167
Bronx,011800,1749,57664
Bronx,011900,1631,16990
Bronx,012101,846,21424
Bronx,012102,494,17688
Bronx,012300,973,17906
Bronx,012500,721,27566
Bronx,012701,712,12342
Bronx,012702,503,19803
Bronx,012901,958,13214
Bronx,012902,209,7044
Bronx,013000,406,48500
Bronx,013100,1123,13281
Bronx,013200,2182,54509
Bronx,013300,2154,16426
Bronx,013500,1032,14667
Bronx,013700,1308,22437
Bronx,013800,717,48813
Bronx,013900,197,21685
Bronx,014100,718,14123
Bronx,014300,297,8606
Bronx,014400,1968,22656
Bronx,014500,1737,14264
Bronx,014700,3459,10775
Bronx,014900,1242,14353
Bronx,015100,1524,18448
Bronx,015300,1032,20918
Bronx,015400,362,52339
Bronx,015500,922,17616
Bronx,015600,537,56343
Bronx,015700,1073,20685
Bronx,015800,548,33438
Bronx,016000,2109,45828
Bronx,016100,1744,16308
Bronx,016200,588,50833
Bronx,016300,0,0
Bronx,016400,391,50733
Bronx,016500,450,11442
Bronx,016600,833,41776
Bronx,016700,521,14432
Bronx,016900,474,16591
Bronx,017100,0,0
Bronx,017300,1666,18375
Bronx,017500,2419,14172
Bronx,017700,2658,14931
Bronx,017900,2476,17685
Bronx,018100,2651,22514
Bronx,018300,3184,24802
Bronx,018400,1546,44167
Bronx,018700,0,0
Bronx,018900,2436,25163
Bronx,019300,1907,13609
Bronx,019400,536,51705
Bronx,019500,2350,20402
Bronx,019600,147,34297
Bronx,019700,2219,22904
Bronx,019800,1322,28783
Bronx,019900,2603,22231
Bronx,020100,1110,21398
Bronx,020200,698,35000
Bronx,020400,1024,34024
Bronx,020500,3328,21754
Bronx,020601,833,29831
Bronx,020602,349,34276
Bronx,020800,742,32572
Bronx,021000,6551,32813
Bronx,021100,1420,19109
Bronx,021200,2160,34444
Bronx,021301,500,15603
Bronx,021302,1271,24899
Bronx,021400,237,68542
Bronx,021501,1066,18207
Bronx,021502,2005,16768
Bronx,021601,1474,33955
Bronx,021602,2212,34866
Bronx,021701,1510,15066
Bronx,021702,154,20833
Bronx,021800,2260,26264
Bronx,021900,407,18750
Bronx,022000,589,11190
Bronx,022100,2494,20603
Bronx,022300,3156,19677
Bronx,022401,1086,30278
Bronx,022402,2879,30982
Bronx,022500,1900,20393
Bronx,022701,1015,19219
Bronx,022702,528,20625
Bronx,022703,573,29063
Bronx,022800,2368,32877
Bronx,022901,1897,25402
Bronx,022902,990,21600
Bronx,023000,992,26042
Bronx,023100,452,15700
Bronx,023200,813,30598
Bronx,023301,1641,24094
Bronx,023302,1097,31466
Bronx,023400,768,31105
Bronx,023501,1389,27591
Bronx,023502,1776,19504
Bronx,023600,625,29669
Bronx,023701,2631,21369
Bronx,023702,334,16111
Bronx,023900,2499,17548
Bronx,024000,1119,29770
Bronx,024100,1738,19692
Bronx,024200,44,36000
Bronx,024300,1720,21029
Bronx,024400,806,45000
Bronx,024500,2497,22261
Bronx,024600,865,51350
Bronx,024700,599,37950
Bronx,024800,1241,49063
Bronx,024900,17,63125
Bronx,025000,1015,38854
Bronx,025100,2006,23841
Bronx,025200,945,46563
Bronx,025300,1949,20956
Bronx,025400,860,45476
Bronx,025500,2067,21135
Bronx,025600,661,34712
Bronx,025700,563,29570
Bronx,025800,166,16250
Bronx,026100,687,55438
Bronx,026300,2874,26343
Bronx,026400,2017,49099
Bronx,026500,1908,21306
Bronx,026601,1374,31480
Bronx,026602,2580,35248
Bronx,026700,3771,27379
Bronx,026900,1399,31832
Bronx,027101,609,10825
Bronx,027102,3,61250
Bronx,027300,2520,27819
Bronx,027400,3186,49712
Bronx,027600,0,0
Bronx,027700,1798,25988
Bronx,027900,2752,40308
Bronx,028100,1943,39655
Bronx,028300,459,35362
Bronx,028400,0,0
Bronx,028500,1620,35634
Bronx,028600,606,48571
Bronx,028700,1166,38446
Bronx,028800,1229,54776
Bronx,028900,1692,31194
Bronx,029300,3678,62727
Bronx,029500,1997,49352
Bronx,029600,1334,29426
Bronx,029700,1747,59940
Bronx,030000,2671,45289
Bronx,030100,568,48333
Bronx,030200,4060,41031
Bronx,030700,4042,69574
Bronx,031000,1145,56406
Bronx,031200,632,50217
Bronx,031400,660,64167
Bronx,031600,676,41364
Bronx,031700,205,9625
Bronx,031800,579,59179
Bronx,031900,0,0
Bronx,032000,707,57292
Bronx,032200,417,45458
Bronx,032300,2751,58071
Bronx,032400,1232,18942
Bronx,032800,1492,28347
Bronx,032900,641,65080
Bronx,033000,2066,30619
Bronx,033200,3327,32997
Bronx,033300,149,168061
Bronx,033400,50,31250
Bronx,033600,2478,25065
Bronx,033800,1301,25060
Bronx,033900,493,50417
Bronx,034000,1659,29459
Bronx,034100,581,61076
Bronx,034200,538,40800
Bronx,034300,521,60417
Bronx,034400,662,40368
Bronx,034500,1519,51250
Bronx,034600,1754,32821
Bronx,035000,649,52656
Bronx,035100,1117,49957
Bronx,035200,723,33274
Bronx,035400,234,66250
Bronx,035600,661,48859
Bronx,035800,2379,43954
Bronx,035900,481,31767
Bronx,036100,2130,12723
Bronx,036300,2094,14632
Bronx,036400,851,62644
Bronx,036501,1154,18125
Bronx,036502,556,18402
Bronx,036600,303,46193
Bronx,036700,620,17214
Bronx,036800,533,36406
Bronx,036901,667,11172
Bronx,036902,792,15602
Bronx,037000,696,44375
Bronx,037100,1658,16570
Bronx,037200,699,34180
Bronx,037300,1619,22536
Bronx,037400,1363,22137
Bronx,037501,135,18854
Bronx,037502,397,12304
Bronx,037503,514,13667
Bronx,037600,746,30132
Bronx,037700,1004,13945
Bronx,037800,1015,30893
Bronx,037900,1576,22824
Bronx,038000,1512,30734
Bronx,038100,1974,19349
Bronx,038200,785,42102
Bronx,038300,3089,16433
Bronx,038500,1284,14679
Bronx,038600,2606,35696
Bronx,038700,1220,17130
Bronx,038800,797,39420
Bronx,038900,1511,21936
Bronx,039000,868,37222
Bronx,039100,2154,19031
Bronx,039200,539,32440
Bronx,039300,2875,13163
Bronx,039400,1576,30814
Bronx,039600,1278,24045
Bronx,039700,565,13250
Bronx,039800,972,40821
Bronx,039901,1657,19375
Bronx,039902,1631,16771
Bronx,040100,1509,26779
Bronx,040301,2707,26947
Bronx,040302,1335,18750
Bronx,040400,1052,37750
Bronx,040500,3506,24709
Bronx,040600,1226,29773
Bronx,040701,1160,22014
Bronx,040702,2357,28198
Bronx,040800,1413,29826
Bronx,040900,1482,41147
Bronx,041000,0,0
Bronx,041100,981,35320
Bronx,041300,2919,32037
Bronx,041400,1686,33585
Bronx,041500,2206,30763
Bronx,041800,1259,42481
Bronx,041900,2539,26530
Bronx,042000,1293,26175
Bronx,042100,2369,30272
Bronx,042200,1150,35078
Bronx,042300,1387,35491
Bronx,042400,803,46843
Bronx,042500,2226,27914
Bronx,042600,2141,50972
Bronx,042800,702,61600
Bronx,042901,1238,27162
Bronx,042902,1395,28381
Bronx,043000,1039,48580
Bronx,043100,3435,27774
Bronx,043200,979,31327
Bronx,043500,6,80488
Bronx,043600,688,55588
Bronx,043800,1053,42413
Bronx,044000,293,30750
Bronx,044200,1371,36475
Bronx,044600,301,51615
Bronx,044800,591,63625
Bronx,044901,926,52500
Bronx,044902,946,45379
Bronx,045101,942,43106
Bronx,045102,900,39931
Bronx,045400,622,57019
Bronx,045800,2460,12960
Bronx,046000,944,30802
Bronx,046201,11135,40843
Bronx,046202,2341,39345
Bronx,048400,1199,57853
Bronx,050200,308,63333
Bronx,050400,0,0
Bronx,051600,2054,56750
Brooklyn,000100,2408,63333
Brooklyn,000200,350,29219
Brooklyn,000301,2393,83739
Brooklyn,000302,123,112414
Brooklyn,000500,3615,65013
Brooklyn,000700,1825,66213
Brooklyn,000900,1048,79201
Brooklyn,001100,75,29732
Brooklyn,001300,1181,58828
Brooklyn,001800,4,85000
Brooklyn,002000,435,26813
Brooklyn,002100,500,74464
Brooklyn,002200,1467,28164
Brooklyn,002300,1513,9876
Brooklyn,002500,763,16680
Brooklyn,002700,156,34375
Brooklyn,002901,1297,11641
Brooklyn,002902,241,27159
Brooklyn,003000,775,54375
Brooklyn,003100,909,40641
Brooklyn,003200,0,0
Brooklyn,003300,1072,45213
Brooklyn,003400,1345,51362
Brooklyn,003500,667,44306
Brooklyn,003600,1859,42476
Brooklyn,003700,208,36667
Brooklyn,003800,703,65234
Brooklyn,003900,969,38686
Brooklyn,004000,504,92945
Brooklyn,004100,1420,61486
Brooklyn,004200,494,67000
Brooklyn,004300,1070,56429
Brooklyn,004500,1796,68182
Brooklyn,004600,445,68594
Brooklyn,004700,467,49427
Brooklyn,004900,1003,62344
Brooklyn,005000,1119,61217
Brooklyn,005100,971,51767
Brooklyn,005201,1165,21804
Brooklyn,005202,1370,54500
Brooklyn,005400,1754,45267
Brooklyn,005500,64,46500
Brooklyn,005601,1443,43922
Brooklyn,005602,863,45089
Brooklyn,005700,629,32563
Brooklyn,005800,1584,41522
Brooklyn,005900,355,21674
Brooklyn,006000,1191,45396
Brooklyn,006200,1273,34576
Brooklyn,006300,894,60274
Brooklyn,006400,1509,45213
Brooklyn,006500,2575,62049
Brooklyn,006600,1602,37500
Brooklyn,006700,1670,70536
Brooklyn,006800,1777,35292
Brooklyn,006900,1539,55417
Brooklyn,007000,1147,39831
Brooklyn,007100,1699,22011
Brooklyn,007200,566,35417
Brooklyn,007400,1487,35893
Brooklyn,007500,2082,69107
Brooklyn,007600,1341,31573
Brooklyn,007700,2012,44444
Brooklyn,007800,1532,27750
Brooklyn,008000,1365,26902
Brooklyn,008200,1265,28648
Brooklyn,008400,1041,30054
Brooklyn,008500,2809,10372
Brooklyn,008600,0,0
Brooklyn,008800,1112,26582
Brooklyn,009000,695,29338
Brooklyn,009200,1647,26597
Brooklyn,009400,1471,28822
Brooklyn,009600,1749,29654
Brooklyn,009800,1648,28594
Brooklyn,010000,1779,29976
Brooklyn,010100,1363,30788
Brooklyn,010200,1370,29485
Brooklyn,010400,1662,24574
Brooklyn,010600,1522,26895
Brooklyn,010800,1401,28844
Brooklyn,011000,652,30786
Brooklyn,011200,1921,19697
Brooklyn,011400,1217,35107
Brooklyn,011600,1323,26330
Brooklyn,011700,1046,30833
Brooklyn,011800,600,24655
Brooklyn,012000,346,31797
Brooklyn,012100,674,36343
Brooklyn,012200,1427,31688
Brooklyn,012300,142,34375
Brooklyn,012400,678,34444
Brooklyn,012500,476,26625
Brooklyn,012700,1274,19000
Brooklyn,012801,718,40341
Brooklyn,012802,241,35625
Brooklyn,012901,989,48024
Brooklyn,012902,941,55625
Brooklyn,013000,1893,36496
Brooklyn,013100,1776,51131
Brooklyn,013200,745,34375
Brooklyn,013300,1670,57885
Brooklyn,013400,1451,43920
Brooklyn,013500,1288,51420
Brooklyn,013600,1612,42500
Brooklyn,013700,1221,57042
Brooklyn,013800,1439,40117
Brooklyn,013900,1512,42361
Brooklyn,014000,890,57436
Brooklyn,014100,1168,41840
Brooklyn,014200,1290,42713
Brooklyn,014300,1332,31771
Brooklyn,014400,398,57500
Brooklyn,014500,1531,30735
Brooklyn,014600,382,82736
Brooklyn,014700,826,34878
Brooklyn,014800,470,47250
Brooklyn,014900,1987,47569
Brooklyn,015000,743,34358
Brooklyn,015100,1505,66815
Brooklyn,015300,1335,66809
Brooklyn,015400,0,0
Brooklyn,015500,1595,63073
Brooklyn,015600,212,56346
Brooklyn,015700,2127,68787
Brooklyn,015800,549,51513
Brooklyn,015900,2723,67317
Brooklyn,016000,1887,41049
Brooklyn,016100,1186,65192
Brooklyn,016200,937,44034
Brooklyn,016300,1376,59583
Brooklyn,016400,370,60500
Brooklyn,016500,2380,77871
Brooklyn,016700,2132,68125
Brooklyn,016800,664,49444
Brooklyn,016900,2107,43925
Brooklyn,017000,1123,47569
Brooklyn,017100,1576,63587
Brooklyn,017200,1073,34617
Brooklyn,017300,152,51944
Brooklyn,017400,630,50250
Brooklyn,017500,0,0
Brooklyn,017600,945,37633
Brooklyn,017700,0,0
Brooklyn,017800,863,31652
Brooklyn,017900,1153,38750
Brooklyn,018000,1110,40565
Brooklyn,018100,2195,48731
Brooklyn,018200,1071,41108
Brooklyn,018300,1225,41648
Brooklyn,018400,793,45699
Brooklyn,018501,1660,13668
Brooklyn,018502,332,25000
Brooklyn,018600,720,37667
Brooklyn,018700,562,33750
Brooklyn,018800,879,38512
Brooklyn,018900,24,40357
Brooklyn,019000,1671,30786
Brooklyn,019100,1003,38099
Brooklyn,019200,685,33839
Brooklyn,019300,1959,36034
Brooklyn,019400,1066,32500
Brooklyn,019500,1837,42587
Brooklyn,019600,1279,36092
Brooklyn,019700,1885,48885
Brooklyn,019800,675,43527
Brooklyn,019900,1429,38717
Brooklyn,020000,734,38936
Brooklyn,020100,1768,45189
Brooklyn,020200,740,47422
Brooklyn,020300,393,38942
Brooklyn,020400,740,52321
Brooklyn,020500,1106,45256
Brooklyn,020600,813,52679
Brooklyn,020700,2070,50137
Brooklyn,020800,1017,46544
Brooklyn,021000,1302,33333
Brooklyn,021200,1355,29179
Brooklyn,021300,1848,28696
Brooklyn,021400,558,32069
Brooklyn,021500,2470,39489
Brooklyn,021600,985,25616
Brooklyn,021700,1457,30712
Brooklyn,021800,1032,30259
Brooklyn,021900,1432,26469
Brooklyn,022000,1335,24846
Brooklyn,022100,1410,21415
Brooklyn,022200,1324,25919
Brooklyn,022300,1341,29321
Brooklyn,022400,1397,34188
Brooklyn,022500,296,23846
Brooklyn,022600,691,22316
Brooklyn,022700,1345,31853
Brooklyn,022800,807,23407
Brooklyn,022900,1211,31202
Brooklyn,023000,1094,22984
Brooklyn,023100,1255,35260
Brooklyn,023200,1596,21981
Brooklyn,023300,1576,23099
Brooklyn,023400,1506,17731
Brooklyn,023500,592,21875
Brooklyn,023600,1755,16941
Brooklyn,023700,317,16797
Brooklyn,023800,1510,23393
Brooklyn,023900,130,20156
Brooklyn,024000,1461,27930
Brooklyn,024100,604,10500
Brooklyn,024200,795,29632
Brooklyn,024300,1581,23358
Brooklyn,024400,1062,28824
Brooklyn,024500,1482,24352
Brooklyn,024600,943,41738
Brooklyn,024700,933,17964
Brooklyn,024800,944,35086
Brooklyn,024900,1760,28449
Brooklyn,025000,465,43717
Brooklyn,025100,1240,21724
Brooklyn,025200,1911,29470
Brooklyn,025300,810,27955
Brooklyn,025400,1171,34803
Brooklyn,025500,1649,11822
Brooklyn,025600,1021,40871
Brooklyn,025700,621,32275
Brooklyn,025800,1608,31541
Brooklyn,025901,517,18150
Brooklyn,025902,1026,13218
Brooklyn,026000,1215,31651
Brooklyn,026100,1532,15702
Brooklyn,026200,852,38000
Brooklyn,026300,643,25417
Brooklyn,026400,1615,30525
Brooklyn,026500,1243,24977
Brooklyn,026600,1222,36458
Brooklyn,026700,1688,32971
Brooklyn,026800,1518,32672
Brooklyn,026900,1110,26905
Brooklyn,027000,867,28380
Brooklyn,027101,528,26686
Brooklyn,027102,367,29375
Brooklyn,027200,1278,32356
Brooklyn,027300,1213,29883
Brooklyn,027400,1012,40691
Brooklyn,027500,1505,30241
Brooklyn,027600,1215,30496
Brooklyn,027700,1362,23561
Brooklyn,027800,1191,24730
Brooklyn,027900,1420,19551
Brooklyn,028000,610,42500
Brooklyn,028100,1178,12194
Brooklyn,028200,1226,38382
Brooklyn,028300,1224,12830
Brooklyn,028400,1421,30727
Brooklyn,028501,93,38438
Brooklyn,028502,1069,11859
Brooklyn,028600,2046,22981
Brooklyn,028700,926,15714
Brooklyn,028800,1124,32171
Brooklyn,028900,1190,20461
Brooklyn,029000,1523,28634
Brooklyn,029100,973,26155
Brooklyn,029200,914,25655
Brooklyn,029300,1274,22500
Brooklyn,029400,552,40227
Brooklyn,029500,1534,31765
Brooklyn,029600,2070,34824
Brooklyn,029700,1338,33333
Brooklyn,029800,1260,32385
Brooklyn,029900,438,27733
Brooklyn,030000,1290,37750
Brooklyn,030100,908,30636
Brooklyn,030200,1448,39881
Brooklyn,030300,1163,15020
Brooklyn,030400,1589,35724
Brooklyn,030600,637,35515
Brooklyn,030700,1544,10516
Brooklyn,030800,736,32670
Brooklyn,030900,545,13578
Brooklyn,031100,1092,25086
Brooklyn,031300,2123,22514
Brooklyn,031400,1940,32083
Brooklyn,031500,2286,26019
Brooklyn,031701,1449,27007
Brooklyn,031702,1310,30093
Brooklyn,031900,1427,33738
Brooklyn,032000,23,55781
Brooklyn,032100,1962,28659
Brooklyn,032300,1418,29747
Brooklyn,032500,2447,28111
Brooklyn,032600,2322,12041
Brooklyn,032700,1468,33038
Brooklyn,032800,1046,24750
Brooklyn,032900,2191,27454
Brooklyn,033000,1747,20276
Brooklyn,033100,1547,26954
Brooklyn,033300,1293,35625
Brooklyn,033500,893,36528
Brooklyn,033600,1912,33359
Brooklyn,033700,1415,30763
Brooklyn,033900,1739,37519
Brooklyn,034000,659,16028
Brooklyn,034100,974,30909
Brooklyn,034200,2842,10069
Brooklyn,034300,1903,16981
Brooklyn,034500,959,32917
Brooklyn,034700,1210,16078
Brooklyn,034801,343,27448
Brooklyn,034802,300,16250
Brooklyn,034900,1937,27981
Brooklyn,035000,1569,25938
Brooklyn,035100,1676,26124
Brooklyn,035200,445,7863
Brooklyn,035300,1831,27188
Brooklyn,035400,2866,28678
Brooklyn,035500,1866,26992
Brooklyn,035600,4301,30493
Brooklyn,035700,815,19712
Brooklyn,035900,1839,19333
Brooklyn,036001,1774,19539
Brooklyn,036002,2218,12351
Brooklyn,036100,1068,17212
Brooklyn,036200,1605,18854
Brooklyn,036300,1180,12212
Brooklyn,036400,903,19693
Brooklyn,036501,966,20948
Brooklyn,036502,295,26771
Brooklyn,036600,1290,30817
Brooklyn,036700,530,20714
Brooklyn,036900,1616,21170
Brooklyn,037000,1594,39104
Brooklyn,037100,1303,23799
Brooklyn,037300,1596,20912
Brooklyn,037400,4101,37924
Brooklyn,037500,930,20510
Brooklyn,037700,1289,34601
Brooklyn,037900,1082,31650
Brooklyn,038100,1776,16560
Brooklyn,038200,1966,15601
Brooklyn,038300,1490,35966
Brooklyn,038500,1384,23750
Brooklyn,038600,1190,26129
Brooklyn,038700,1318,22338
Brooklyn,038800,1497,37571
Brooklyn,038900,716,25208
Brooklyn,039000,847,38102
Brooklyn,039100,404,13947
Brooklyn,039200,1027,31898
Brooklyn,039300,893,23456
Brooklyn,039400,873,27452
Brooklyn,039500,1213,20417
Brooklyn,039600,731,33313
Brooklyn,039700,1139,21729
Brooklyn,039800,823,31078
Brooklyn,039900,1161,16594
Brooklyn,040000,1073,30559
Brooklyn,040100,958,21029
Brooklyn,040200,843,39960
Brooklyn,040300,1046,26341
Brooklyn,040400,783,39028
Brooklyn,040500,427,33125
Brooklyn,040600,1229,31828
Brooklyn,040700,0,0
Brooklyn,040800,1041,33850
Brooklyn,040900,1064,24048
Brooklyn,041000,696,40577
Brooklyn,041100,956,17750
Brooklyn,041200,1033,35170
Brooklyn,041300,956,22654
Brooklyn,041401,540,37143
Brooklyn,041402,675,36850
Brooklyn,041500,1067,25983
Brooklyn,041600,721,41542
Brooklyn,041700,1100,16394
Brooklyn,041800,878,27778
Brooklyn,041900,1110,22788
Brooklyn,042000,580,44904
Brooklyn,042100,1046,19767
Brooklyn,042200,1193,35136
Brooklyn,042300,794,20889
Brooklyn,042400,1235,34583
Brooklyn,042500,723,17109
Brooklyn,042600,1377,30477
Brooklyn,042700,1495,19297
Brooklyn,042800,1368,31667
Brooklyn,042900,1677,16431
Brooklyn,043000,1335,27260
Brooklyn,043100,1503,20960
Brooklyn,043200,1441,28631
Brooklyn,043300,1122,15900
Brooklyn,043400,1246,29107
Brooklyn,043500,1220,22056
Brooklyn,043600,1568,28036
Brooklyn,043700,1407,24488
Brooklyn,043800,978,33382
Brooklyn,043900,1043,28092
Brooklyn,044000,955,30675
Brooklyn,044100,1672,22904
Brooklyn,044200,910,26912
Brooklyn,044300,1592,27965
Brooklyn,044400,1185,30693
Brooklyn,044500,1355,30417
Brooklyn,044600,641,38698
Brooklyn,044700,584,23250
Brooklyn,044800,585,41917
Brooklyn,045000,516,48214
Brooklyn,045200,991,45644
Brooklyn,045300,460,25000
Brooklyn,045400,536,45735
Brooklyn,045500,16,17222
Brooklyn,045600,888,34076
Brooklyn,045800,526,64032
Brooklyn,046001,1071,31750
Brooklyn,046002,177,55250
Brooklyn,046201,1079,25689
Brooklyn,046202,455,45313
Brooklyn,046400,626,35741
Brooklyn,046500,815,12581
Brooklyn,046800,333,38950
Brooklyn,047000,821,42663
Brooklyn,047200,784,26953
Brooklyn,047300,237,37019
Brooklyn,047400,843,32606
Brooklyn,047600,1090,27917
Brooklyn,047700,981,37863
Brooklyn,047800,1298,37071
Brooklyn,048000,1101,23475
